side,entry_time,exit_time,entry,exit,qty,pnl,reason,p_up
long,2025-02-03 13:00:00+00:00,2025-02-03 14:00:00+00:00,94751.47898700001,94209.21504671729,0.26384812424331683,-163.01809335899003,SL,0.7101540080803752
long,2025-02-26 20:00:00+00:00,2025-02-26 20:15:00+00:00,83197.962243,82303.0356311082,0.2999982788491943,-288.3364490679042,SL,0.7119626161309408
long,2025-03-04 07:00:00+00:00,2025-03-04 13:15:00+00:00,83499.3077875,82834.88842871023,0.2980523075440265,-217.86223946650392,SL,0.7692887204025369
long,2025-03-10 23:45:00+00:00,2025-03-11 00:15:00+00:00,78631.228137,78029.05454404453,0.3158121320610736,-209.96381341526077,SL,0.7108231287823906
long,2025-04-09 22:45:00+00:00,2025-04-09 23:45:00+00:00,83094.2055735,82522.87675688362,0.2982182052303731,-190.13666590695416,SL,0.7251664641624118
long,2025-10-11 08:15:00+00:00,2025-10-11 20:45:00+00:00,110999.14714900001,110247.27146076517,0.22281856500659533,-187.25098571882359,SL,0.7228459663401784
