year,mode,vpin,ml,end_equity,profit_usd,return_pct,trades,win_rate,max_dd_pct,buy_hold_pct
2019,auto,True,False,98871.94959140547,-1128.0504085945286,-1.1280504085945275,33,18.181818181818183,-1.3672945983322915,94.60716034089648
2020,auto,True,False,101329.01737200016,1329.0173720001621,1.329017372000152,27,14.814814814814815,-3.2951580629734356,302.78165763121143
2021,auto,True,False,97470.02507936828,-2529.974920631721,-2.529974920631717,25,8.0,-2.529974920631717,60.738884560808
2022,auto,True,False,98565.94466559353,-1434.0553344064683,-1.43405533440647,43,20.930232558139537,-1.697805244433237,-64.29634397100438
2024,auto,True,False,99316.07056170118,-683.9294382988155,-0.6839294382988137,31,19.35483870967742,-1.0744816575895322,120.24100922613444
2025,auto,True,False,100201.97993031956,201.9799303195614,0.2019799303195624,38,28.94736842105263,-1.2842280336117007,-6.4149103668332375
