year,mode,vpin,ml,end_equity,profit_usd,return_pct,trades,win_rate,max_dd_pct,buy_hold_pct
2019,short_only,True,False,99982.5415905313,-17.458409468701575,-0.017458409468706915,36,22.22222222222222,-1.1832329820090082,94.60716034089648
2020,short_only,True,False,100987.31490710299,987.3149071029911,0.9873149071029985,31,19.35483870967742,-2.630331430536148,302.78165763121143
2021,short_only,True,False,100282.84726623107,282.8472662310669,0.2828472662310677,21,19.047619047619047,-1.5836499845490182,60.738884560808
2022,short_only,True,False,98718.20474342653,-1281.795256573474,-1.2817952565734703,45,22.22222222222222,-1.5481435014332412,-64.29634397100438
2024,short_only,True,False,100059.33472845827,59.33472845827055,0.05933472845827126,23,21.73913043478261,-0.807760369034427,120.24100922613444
2025,short_only,True,False,100500.03239287664,500.03239287664474,0.500032392876637,29,31.03448275862069,-1.1805066360631278,-6.4149103668332375
